v p
2.429802 0.500000
1.532594 0.835526
0.968001 1.396207
0.612120 2.333134
0.387416 3.898788
0.245299 6.515076
0.155270 10.887029
0.098154 18.192789
0.061869 30.401092
0.038788 50.801798
0.034404 59.157112
0.030492 68.886615
0.027013 80.216318
0.023992 93.409404
0.021298 108.772340
0.018900 126.662000
0.016768 147.493960
0.014912 171.752120
0.013260 200.000000
