s T
0.057 0.850
0.207 10.850
0.352 20.850
0.417 28.600
8.480 28.600
8.500 28.600
8.813 38.000
8.850 48.000
8.887 58.000
8.924 68.000
8.961 78.000
8.998 88.000
9.035 98.000
9.072 108.000
9.109 118.000
9.146 128.000
9.183 138.000
9.220 148.000
9.257 158.000
9.294 168.000
9.331 178.000
9.368 188.000
9.405 198.000
9.442 208.000
9.479 218.000
9.516 228.000
9.558 235.600

