s T
0.252 116.030
0.332 118.030
0.417 120.030
0.507 122.030
0.602 124.030
0.702 126.030
0.807 128.030
0.917 130.030
1.032 132.030
1.157 134.030
1.282 136.030
1.412 138.030
1.547 140.030
1.687 142.030
1.832 144.030
1.982 146.030
2.137 148.030
2.297 150.030
2.467 152.030
2.642 154.030
2.822 156.030
3.007 158.030
3.197 160.030
3.392 162.030
