v p
0.002529 218.433600
0.003106 220.640000
0.003360 216.227200
0.003414 214.905300
0.003631 209.170600
0.003834 203.435900
0.004032 197.701200
0.004232 191.966500
0.004232 191.966500
0.005360 163.293000
0.006874 134.619510
0.009124 105.946010
0.012929 77.272509
0.012929 77.272509
0.037551 27.062367
0.102842 9.477778
0.275999 3.319306
0.736237 1.162487
1.964255 0.407126
5.255041 0.142584
14.110293 0.049936
