s T
0 -77.655
0.011 -77.150
0.514 -52.655
0.987 -27.655
1.427 -2.655
1.838 22.345
2.230 47.345
2.613 72.345
3.007 97.345
3.007 97.345
3.125 104.326
3.249 111.307
3.385 118.288
3.549 125.269
3.756 130.750
3.773 131.000
3.793 131.250
3.847 131.750
4.026 132.250
4.222 131.750
4.259 131.250
4.276 131.000
4.292 130.750
4.515 125.269
4.681 118.288
4.806 111.307
4.911 104.326
5.004 97.345
5.004 97.345
5.289 72.345
5.550 47.345
5.821 22.345
6.128 -2.655
6.498 -27.655
6.968 -52.655
7.579 -77.150
