0.4763	32.88
0.5472	38.11
0.6181	43.44
0.689	48.86
0.76	54.37
0.8309	59.98
0.9018	65.67
0.9727	71.46
1.0437	77.35
1.1146	83.32
1.1855	89.39
1.2564	95.56
1.3274	101.81
1.3983	108.17
1.4692	114.61
1.5402	116.22
1.6111	116.22
1.682	116.22
1.7529	116.22
1.8239	116.22
1.8948	116.22
1.9657	116.22
2.0366	116.22
2.1076	116.22
2.1785	116.22
2.2494	116.22
2.3204	116.22
2.3913	116.22
2.4622	116.22
2.5331	116.22
2.6041	116.22
2.675	116.22
2.7459	116.22
2.8168	116.22
2.8878	116.22
2.9587	116.22
3.0296	116.22
3.1005	116.22
3.1715	116.22
3.2424	116.22
3.3133	116.22
3.3843	116.22
3.4552	116.22
3.5261	116.22
3.597	116.22
3.668	116.22
3.7389	116.22
3.8098	116.22
3.8807	116.22
3.9517	116.22
4.0226	116.22
4.0935	116.22
4.1645	116.22
4.2354	116.22
4.3063	116.22
4.3772	116.22
4.4482	116.22
4.5191	116.22
4.59	116.22
4.6609	116.22
4.7319	116.22
4.8028	116.22
4.8737	116.22
4.9446	116.22
5.0156	116.22
5.0865	116.22
5.1574	116.22
5.2284	116.22
5.2993	116.22
5.3702	116.22
5.4411	116.22
5.5121	116.22
5.583	116.22
5.6539	116.22
5.7248	116.22
5.7958	116.22
5.8667	116.22
5.9376	116.22
6.0086	116.22
6.0795	116.22
6.1504	116.22
6.2213	116.22
6.2923	116.22
6.3632	116.22
6.4341	116.22
6.505	116.22
6.576	116.22
6.6469	116.22
6.7178	116.22
6.7887	116.22
6.8597	116.22
6.9306	116.22
7.0015	116.22
7.0725	116.22
7.1434	116.22
7.2143	124.48
7.2852	138.21
7.3562	152.67
7.4271	167.79
7.498	183.58
7.5689	200
