s T
8.026 478.704
7.918 428.704
7.801 378.704
7.674 328.704
7.534 278.704
7.398 228.704
7.221 178.704
7.040 128.704
7.040 128.704
6.025 120.850
4.869 110.850
3.906 100.850
3.113 90.850
2.465 80.850
1.937 70.850
1.508 60.850
1.158 50.850
0.869 40.850
0.626 30.850
0.414 20.850
0.224 10.850
0.046 0.850
