s T
5.617 0.850
5.392 25.850
5.228 50.850
5.108 75.850
5.020 100.850
4.956 125.850
4.910 150.850
4.875 175.850
4.849 200.850
4.827 225.850
4.807 250.850
4.786 275.850
4.760 300.850
4.722 325.850
4.656 350.850
4.644 353.946
4.635 355.946
4.626 357.946
4.616 359.946
4.605 361.946
4.592 363.946
4.577 365.946
4.560 367.946
4.537 369.946
4.505 371.946
4.407 373.946
